intervention_id,intervention_category,intervention_subcategory,vehicle_category,vehicle_subcategory,fuel_type,vehicle_manufacturer,vehicle_production_year,fuel_efficiency_unit,fuel_efficiency,capital_cost_unit,capital_cost,lifespan,annual_maintenance_unit,annual_maintenance,depreciation_factor
ag_equip_fuelswitch_1,transport_intervention,Fuel Switch,Agricultural Equipment,Agricultural Equipment,Diesel,Others,0,km per L,3.74,USD,352500,20,USD,7755,0.15
ag_equip_fuelswitch_2,transport_intervention,Fuel Switch,Agricultural Equipment,Agricultural Equipment,Motor Gasoline,Others,0,km per L,3.74,USD,352500,20,USD,7755,0.15
aircraft_fuelswitch_1,transport_intervention,Fuel Switch,Aircrafts,Aircrafts,Aviation Gasoline,Others,0,km per L,1.7,USD,3750000,20,USD,75000,0.15
aircraft_fuelswitch_2,transport_intervention,Fuel Switch,Aircrafts,Aircrafts,Kerosene-Type Jet Fuel,Others,0,km per L,0.85,USD,3750000,20,USD,75000,0.15
heavy_duty_fuelswitch_1,transport_intervention,Fuel Switch,Heavy Duty,Heavy Duty,Biodiesel (100%),Others,0,km per L,2.41,USD,150000,10,USD,7500,0.15
heavy_duty_fuelswitch_2,transport_intervention,Fuel Switch,Heavy Duty,Heavy Duty,Biodiesel (20%),Others,0,km per L,2.41,USD,90000,10,USD,7500,0.15
heavy_duty_fuelswitch_3,transport_intervention,Fuel Switch,Heavy Duty,Heavy Duty,Compressed Natural Gas (CNG),Others,0,km per m3,0.2,USD,65460,10,USD,2625,0.2
heavy_duty_fuelswitch_4,transport_intervention,Fuel Switch,Heavy Duty,Heavy Duty,Diesel,Others,0,km per L,2.55,USD,112500,10,USD,1500,0.15
heavy_duty_fuelswitch_5,transport_intervention,Fuel Switch,Heavy Duty,Heavy Duty,Electricity,Others,0,km per kWh,0.266,USD,324700,10,USD,2625,0.1386
heavy_duty_fuelswitch_6,transport_intervention,Fuel Switch,Heavy Duty,Heavy Duty,Ethanol (85%),Others,0,km per L,1.66,USD,112500,10,USD,7500,0.15
heavy_duty_fuelswitch_7,transport_intervention,Fuel Switch,Heavy Duty,Heavy Duty,Liquefied Natural Gas (LNG),Others,0,km per L,1.503,USD,102640,10,USD,2625,0.2
heavy_duty_fuelswitch_8,transport_intervention,Fuel Switch,Heavy Duty,Heavy Duty,Motor Gasoline,Others,0,km per L,2.26,USD,112500,10,USD,7500,0.15
light_duty_fuelswitch_1,transport_intervention,Fuel Switch,Light Duty,Light Duty,Biodiesel (20%),Others,0,km per L,7.93,USD,54000,10,USD,1500,0.15
light_duty_fuelswitch_2,transport_intervention,Fuel Switch,Light Duty,Light Duty,Compressed Natural Gas (CNG),Others,0,km per m3,18.48,USD,57750,10,USD,7500,0.15
light_duty_fuelswitch_3,transport_intervention,Fuel Switch,Light Duty,Light Duty,Diesel,Others,0,km per L,8.41,USD,59250,10,USD,1500,0.15
light_duty_fuelswitch_4,transport_intervention,Fuel Switch,Light Duty,Light Duty,Electricity,Others,0,km per kWh,0.23,USD,54000,10,USD,3150,0.15
light_duty_fuelswitch_5,transport_intervention,Fuel Switch,Light Duty,Light Duty,Ethanol (85%),Others,0,km per L,5.46,USD,37500,10,USD,3750,0.15
light_duty_fuelswitch_6,transport_intervention,Fuel Switch,Light Duty,Light Duty,Hybrid,Others,0,km per L,9.672,USD,56250,10,USD,3000,0.15
light_duty_fuelswitch_7,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Others,0,km per L,6.786,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_8,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Acura,0,km per L,8.421,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_9,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Acura,2001,km per L,7.41,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_10,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Acura,2002,km per L,7.41,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_11,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Acura,2003,km per L,7.35,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_12,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Acura,2004,km per L,7.35,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_13,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Acura,2005,km per L,7.3,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_14,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Acura,2006,km per L,7.3,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_15,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Acura,2007,km per L,7.55,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_16,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Acura,2008,km per L,7.55,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_17,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Acura,2009,km per L,7.55,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_18,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Acura,2010,km per L,7.97,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_19,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Acura,2011,km per L,7.98,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_20,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Acura,2012,km per L,7.98,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_21,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Acura,2013,km per L,8.26,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_22,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Acura,2014,km per L,9.22,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_23,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Acura,2015,km per L,9.22,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_24,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Acura,2016,km per L,9.23,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_25,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Acura,2017,km per L,9.66,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_26,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Acura,2018,km per L,9.66,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_27,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Acura,2019,km per L,9.8,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_28,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Acura,2020,km per L,9.78,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_29,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Acura,2021,km per L,9.9,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_30,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Acura,2022,km per L,9.13,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_31,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Acura,2023,km per L,9.13,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_32,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Alfa Romeo,0,km per L,9.548,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_33,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Alfa Romeo,2018,km per L,9.09,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_34,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Alfa Romeo,2019,km per L,9.58,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_35,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Alfa Romeo,2020,km per L,9.62,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_36,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Alfa Romeo,2021,km per L,9.62,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_37,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Alfa Romeo,2022,km per L,9.62,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_38,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Alfa Romeo,2023,km per L,9.76,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_39,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Aston Martin,0,km per L,6.807,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_40,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Aston Martin,2021,km per L,6.58,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_41,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Aston Martin,2022,km per L,6.85,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_42,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Aston Martin,2023,km per L,6.99,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_43,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Audi,0,km per L,7.987,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_44,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Audi,2001,km per L,6.76,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_45,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Audi,2002,km per L,6.78,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_46,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Audi,2003,km per L,7.12,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_47,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Audi,2004,km per L,7.12,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_48,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Audi,2005,km per L,7.12,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_49,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Audi,2007,km per L,6.33,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_50,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Audi,2008,km per L,6.37,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_51,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Audi,2009,km per L,6.62,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_52,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Audi,2010,km per L,7.11,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_53,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Audi,2011,km per L,8.36,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_54,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Audi,2012,km per L,8.36,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_55,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Audi,2013,km per L,9.15,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_56,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Audi,2014,km per L,8.82,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_57,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Audi,2015,km per L,8.9,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_58,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Audi,2016,km per L,9.32,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_59,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Audi,2017,km per L,8.93,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_60,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Audi,2018,km per L,9.26,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_61,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Audi,2019,km per L,9.01,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_62,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Audi,2020,km per L,8.06,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_63,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Audi,2021,km per L,8.58,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_64,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Audi,2022,km per L,8.84,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_65,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Audi,2023,km per L,8.8,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_66,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bentley,0,km per L,6.679,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_67,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bentley,2017,km per L,6.29,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_68,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bentley,2018,km per L,6.29,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_69,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bentley,2019,km per L,7.35,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_70,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bentley,2020,km per L,6.49,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_71,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bentley,2021,km per L,6.78,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_72,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bentley,2022,km per L,6.78,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_73,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bentley,2023,km per L,6.77,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_74,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,0,km per L,7.62,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_75,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,1999,km per L,6.13,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_76,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,2000,km per L,7.81,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_77,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,2001,km per L,6.51,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_78,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,2002,km per L,6.3,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_79,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,2003,km per L,6.3,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_80,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,2004,km per L,7.02,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_81,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,2005,km per L,7.13,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_82,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,2006,km per L,7.13,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_83,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,2007,km per L,7.83,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_84,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,2008,km per L,7.68,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_85,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,2009,km per L,7.26,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_86,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,2010,km per L,7.17,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_87,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,2011,km per L,7.34,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_88,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,2012,km per L,7.52,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_89,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,2013,km per L,7.76,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_90,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,2014,km per L,8.29,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_91,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,2015,km per L,8.5,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_92,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,2016,km per L,8.44,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_93,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,2017,km per L,8.38,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_94,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,2018,km per L,8.6,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_95,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,2019,km per L,9.08,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_96,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,2020,km per L,8.11,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_97,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,2021,km per L,8.1,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_98,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,2022,km per L,8.13,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_99,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Bmw,2023,km per L,7.98,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_100,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Buick,0,km per L,8.766,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_101,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Buick,2002,km per L,8.16,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_102,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Buick,2003,km per L,8.06,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_103,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Buick,2004,km per L,6.94,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_104,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Buick,2005,km per L,7.505,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_105,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Buick,2006,km per L,7.59,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_106,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Buick,2007,km per L,7.545,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_107,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Buick,2008,km per L,7.87,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_108,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Buick,2009,km per L,7.91,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_109,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Buick,2010,km per L,7.91,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_110,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Buick,2011,km per L,7.91,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_111,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Buick,2012,km per L,7.97,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_112,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Buick,2013,km per L,9.41,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_113,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Buick,2014,km per L,9.39,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_114,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Buick,2015,km per L,9.39,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_115,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Buick,2016,km per L,9.8,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_116,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Buick,2017,km per L,9.89,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_117,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Buick,2018,km per L,10.39,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_118,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Buick,2019,km per L,10.17,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_119,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Buick,2020,km per L,10.2,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_120,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Buick,2021,km per L,10.71,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_121,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Buick,2022,km per L,10.79,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_122,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Buick,2023,km per L,10.99,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_123,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,0,km per L,6.944,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_124,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,1999,km per L,5.35,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_125,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,2000,km per L,5.35,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_126,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,2002,km per L,5,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_127,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,2003,km per L,5.42,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_128,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,2004,km per L,6.005,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_129,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,2005,km per L,5.61,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_130,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,2006,km per L,6.19,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_131,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,2007,km per L,6.76,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_132,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,2008,km per L,6.77,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_133,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,2009,km per L,6.78,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_134,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,2010,km per L,7.77,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_135,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,2011,km per L,7.59,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_136,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,2012,km per L,7.44,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_137,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,2013,km per L,7.44,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_138,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,2014,km per L,7.12,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_139,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,2015,km per L,7.34,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_140,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,2016,km per L,7.69,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_141,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,2017,km per L,8.4,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_142,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,2018,km per L,8.38,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_143,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,2019,km per L,9.19,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_144,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,2020,km per L,9.2,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_145,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,2021,km per L,8.89,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_146,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,2022,km per L,8.9,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_147,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Cadillac,2023,km per L,8.56,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_148,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Chevrolet,0,km per L,7.052,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_149,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Chevrolet,1995,km per L,6.397,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_150,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Chevrolet,1996,km per L,6.383,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_151,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Chevrolet,1997,km per L,6.507,USD,51750,10,USD,1500,0.15
light_duty_fuelswitch_152,transport_intervention,Fuel Switch,Light Duty,Light Duty,Motor Gasoline,Chevrolet,1998,km per L,6.613,USD,51750,10,USD,1500,0.15
